# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Dec  5 08:14:35 2019
#
# User preference: *
#
# CONSTRAINT:  where (pl_tranflag = 1
# CONSTRAINT:  and st_vjstr < 16)
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_name:        Planet Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_controvflag: Controversial Flag
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [AU]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [AU]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN pl_k2flag:      K2 Mission Flag
# COLUMN pl_nnotes:      Number of Notes
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_distlim:     Distance Limit Flag
# COLUMN gaia_dist:      Gaia Distance [pc]
# COLUMN gaia_disterr1:  Gaia Distance Upper Unc. [pc]
# COLUMN gaia_disterr2:  Gaia Distance Lower Unc. [pc]
# COLUMN gaia_distlim:   Gaia Distance Limit Flag
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_optmagerr:   Optical Magnitude Unc. [mag]
# COLUMN st_optmaglim:   Optical Magnitude Limit Flag
# COLUMN st_optband:     Optical Magnitude Band
# COLUMN gaia_gmag:      G-band (Gaia) [mag]
# COLUMN gaia_gmagerr:   G-band (Gaia) Unc. [mag]
# COLUMN gaia_gmaglim:   G-band (Gaia) Limit Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_tranflag:    Planet Transit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_masse:       Planet Mass [Earth mass]
# COLUMN pl_masseerr1:   Planet Mass Upper Unc. [Earth mass]
# COLUMN pl_masseerr2:   Planet Mass Lower Unc. [Earth mass]
# COLUMN pl_masselim:    Planet Mass Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth radii]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth radii]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth radii]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_facility:    Discovery Facility
# COLUMN st_vj:          V-band (Johnson) [mag]
# COLUMN st_vjerr:       V-band (Johnson) Unc. [mag]
# COLUMN st_vjlim:       V-band (Johnson) Limit Flag
# COLUMN st_j:           J-band (2MASS) [mag]
# COLUMN st_jerr:        J-band (2MASS) Unc. [mag]
# COLUMN st_jlim:        J-band (2MASS) Limit Flag
# COLUMN st_h:           H-band (2MASS) [mag]
# COLUMN st_herr:        H-band (2MASS) Unc. [mag]
# COLUMN st_hlim:        H-band (2MASS) Limit Flag
# COLUMN st_k:           Ks-band (2MASS) [mag]
# COLUMN st_kerr:        Ks-band (2MASS) Unc. [mag]
# COLUMN st_klim:        Ks-band (2MASS) Limit Flag
#
pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_tranflag,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_facility,st_vj,st_vjerr,st_vjlim,st_j,st_jerr,st_jlim,st_h,st_herr,st_hlim,st_k,st_kerr,st_klim
HD 219134,b,HD 219134 b,Radial Velocity,0,6,3.09292600,0.00001000,-0.00001000,0,0.038760,0.000470,-0.000470,0,0.000000,,,0,85.050,0.090,-0.090,0,6.34000,0.72000,-0.72000,0,0,0,0,0,23h13m16.98s,348.320740,+57d10m06.1s,57.168354,6.53,0.00,0.00,0,6.53,0.00,0.00,0,5.570,,0,V (Johnson),5.208,,0,4699.00,16.00,-16.00,0,0.81,0.03,-0.03,0,0.78,0.01,-0.01,0,2017-03-16,1,1015,8,-8,0,176.2000,5.5000,-5.5000,0,4.74000,0.19000,-0.19000,0,1.602,0.055,-0.055,0,Roque de los Muchachos Observatory,5.570,,0,3.981,0.258,0,3.469,0.226,0,3.261,0.304,0
HD 219134,c,HD 219134 c,Radial Velocity,0,6,6.76458000,0.00033000,-0.00033000,0,0.065300,0.000800,-0.000800,0,0.062000,0.039000,-0.039000,0,87.280,0.100,-0.100,0,6.95000,0.77000,-0.77000,0,0,0,0,0,23h13m16.98s,348.320740,+57d10m06.1s,57.168354,6.53,0.00,0.00,0,6.53,0.00,0.00,0,5.570,,0,V (Johnson),5.208,,0,4699.00,16.00,-16.00,0,0.81,0.03,-0.03,0,0.78,0.01,-0.01,0,2017-03-16,1,782,6,-6,0,62.1000,1.9000,-1.9000,0,4.36000,0.22000,-0.22000,0,1.511,0.047,-0.047,0,Roque de los Muchachos Observatory,5.570,,0,3.981,0.258,0,3.469,0.226,0,3.261,0.304,0
HD 39091,c,pi Men c,Transit,0,2,6.26790000,0.00046000,-0.00046000,0,0.068390,0.000500,-0.000500,0,0.000000,,,0,87.456,0.085,-0.076,0,2.97000,0.57000,-0.55000,0,0,0,0,1,05h37m09.89s,84.291214,-80d28m08.8s,-80.469124,18.28,0.02,-0.02,0,18.28,0.02,-0.02,0,5.670,,0,V (Johnson),5.491,,0,6037.00,45.00,-45.00,0,1.09,0.04,-0.04,0,1.10,0.02,-0.02,0,2018-11-15,1,1170,3,-4,0,309.0000,29.0000,-66.0000,0,4.82000,0.84000,-0.86000,0,2.042,0.050,-0.050,0,Transiting Exoplanet Survey Satellite (TESS),5.670,,0,4.869,0.272,0,4.424,0.226,0,4.241,0.027,0
55 Cnc,e,55 Cnc e,Radial Velocity,0,5,0.73653900,0.00000700,-0.00000700,0,0.015440,0.000090,-0.000090,0,,,,0,83.300,0.900,-0.800,0,6.40000,0.80000,-0.70000,0,0,0,0,1,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,0.01,-0.01,0,12.59,0.01,-0.01,0,5.960,0.010,0,V (Johnson),5.714,,0,5196.00,24.00,-24.00,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,2019-01-31,1,,,,0,,,,0,8.08000,0.31000,-0.31000,0,1.910,0.080,-0.080,0,McDonald Observatory,5.960,0.010,0,4.768,0.244,0,4.265,0.234,0,4.015,0.036,0
HR 858,b,HR 858 b,Transit,0,3,3.58599000,0.00015000,-0.00015000,0,0.048000,0.001000,-0.001100,0,0.300000,,,1,85.500,1.500,-0.500,0,,,,0,0,0,0,0,02h51m56.25s,42.984360,-30d48m52.3s,-30.814520,31.99,0.07,-0.07,0,31.99,0.07,-0.07,0,6.400,,0,V (Johnson),6.248,,0,6201.00,50.00,-50.00,0,1.15,0.07,-0.08,0,1.31,0.02,-0.02,0,2019-07-25,1,1572,22,-19,0,989.7000,62.5000,-55.8000,0,,,,0,2.085,0.068,-0.064,0,Transiting Exoplanet Survey Satellite (TESS),6.400,,0,5.473,0.027,0,5.225,0.034,0,5.149,0.020,0
HR 858,c,HR 858 c,Transit,0,3,5.97293000,0.00060000,-0.00053000,0,0.067400,0.001400,-0.001600,0,0.190000,,,1,86.230,0.260,-0.260,0,,,,0,0,0,0,0,02h51m56.25s,42.984360,-30d48m52.3s,-30.814520,31.99,0.07,-0.07,0,31.99,0.07,-0.07,0,6.400,,0,V (Johnson),6.248,,0,6201.00,50.00,-50.00,0,1.15,0.07,-0.08,0,1.31,0.02,-0.02,0,2019-07-25,1,1326,18,-16,0,512.0000,29.0000,-26.0000,0,,,,0,1.939,0.069,-0.069,0,Transiting Exoplanet Survey Satellite (TESS),6.400,,0,5.473,0.027,0,5.225,0.034,0,5.149,0.020,0
HR 858,d,HR 858 d,Transit,0,3,11.23000000,0.00110000,-0.00100000,0,0.102700,0.002200,-0.002500,0,0.280000,,,1,87.430,0.180,-0.190,0,,,,0,0,0,0,0,02h51m56.25s,42.984360,-30d48m52.3s,-30.814520,31.99,0.07,-0.07,0,31.99,0.07,-0.07,0,6.400,,0,V (Johnson),6.248,,0,6201.00,50.00,-50.00,0,1.15,0.07,-0.08,0,1.31,0.02,-0.02,0,2019-07-25,1,1075,15,-13,0,217.0000,13.0000,-12.0000,0,,,,0,2.164,0.086,-0.083,0,Transiting Exoplanet Survey Satellite (TESS),6.400,,0,5.473,0.027,0,5.225,0.034,0,5.149,0.020,0
KELT-9,b,KELT-9 b,Transit,0,1,1.48112350,0.00000110,-0.00000110,0,0.034620,0.001100,-0.000930,0,0.000000,,,0,86.790,0.250,-0.250,0,0.53000,0.15000,-0.15000,0,0,0,0,0,20h31m26.35s,307.859802,+39d56m19.8s,39.938828,205.65,1.58,-1.58,0,205.65,1.58,-1.58,0,7.550,0.010,0,V (Johnson),7.577,,0,10170.00,450.00,-450.00,0,2.52,0.25,-0.20,0,2.36,0.07,-0.06,0,2017-06-05,1,4050,180,-180,0,44900.0000,8100.0000,-7200.0000,0,915.35040,266.97720,-266.97720,0,21.196,0.684,-0.594,0,KELT-North,7.550,0.010,0,7.458,0.018,0,7.492,0.021,0,7.482,0.020,0
KELT-20,b,KELT-20 b,Transit,0,1,3.47410850,0.00000190,-0.00000190,0,0.054200,0.001400,-0.002100,0,,,,0,86.120,0.280,-0.270,0,0.80600,,,1,0,0,0,0,19h38m38.74s,294.661407,+31d13m09.2s,31.219225,139.70,6.60,-6.60,0,136.96,0.81,-0.81,0,7.580,0.010,0,V (Johnson),7.575,,0,8720.00,250.00,-260.00,0,1.76,0.14,-0.19,0,1.56,0.06,-0.06,0,2017-11-02,1,2262,73,-73,0,4362.5000,595.2000,-536.4000,0,1074.90106,,,1,19.515,0.773,-0.829,0,KELT-North,7.580,0.010,0,7.424,0.024,0,7.446,0.018,0,7.415,0.017,0
HD 209458,b,HD 209458 b,Radial Velocity,0,1,3.52474859,0.00000038,-0.00000038,0,,,,0,0.000000,,,0,86.710,0.050,-0.050,0,,,,0,0,0,0,2,22h03m10.77s,330.794891,+18d53m03.5s,18.884319,48.37,0.12,-0.12,0,48.37,0.12,-0.12,0,7.632,0.012,0,V (Johnson),7.509,,0,6091.00,10.00,-10.00,0,1.23,0.09,-0.09,0,1.19,0.02,-0.02,0,2018-12-06,1,,,,0,,,,0,232.01590,12.71320,-12.71320,0,15.581,0.224,-0.224,0,W. M. Keck Observatory,7.632,0.012,0,6.591,0.020,0,6.366,0.038,0,6.308,0.026,0
