# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Nov 20 13:39:49 2019
#
# User preference: *
#
# CONSTRAINT:  where (k2c_disp like '%CANDIDATE%'
# CONSTRAINT:  and pl_radestr < 25
# CONSTRAINT:  and st_vjstr < 14)
#
# COLUMN epic_name:      EPIC Name
# COLUMN epic_candname:  Candidate Name
# COLUMN pl_name:        Planet Name
# COLUMN k2c_disp:       Exoplanet Archive Disposition
# COLUMN k2c_note:       Notes
# COLUMN k2_campaign:    K2 Campaign
# COLUMN k2c_recentflag: Most Recent Flag
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_trandur:     Transit Duration [days]
# COLUMN pl_ratdor:      Ratio of Distance to Stellar Radius
# COLUMN pl_ratror:      Ratio of Candidate to Stellar Radius
# COLUMN pl_rade:        Candidate Radius [Earth radii]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_kep:         Kepler-band [mag]
# COLUMN st_vj:          V-band (Johnson) [mag]
# COLUMN st_j2:          J-band (2MASS) [mag]
# COLUMN st_k2:          Ks-band (2MASS) [mag]
#
epic_name,epic_candname,pl_name,k2c_disp,k2c_note,k2_campaign,k2c_recentflag,ra_str,ra,dec_str,dec,pl_orbper,pl_tranmid,pl_trandur,pl_ratdor,pl_ratror,pl_rade,pl_eqt,st_teff,st_logg,st_rad,st_kep,st_vj,st_j2,st_k2
EPIC 212178066,EPIC 212178066.01,,CANDIDATE,,16,1,08h38m45.52s,129.689667,+23d41m09.3s,23.685905,15.61342600,2458095.892910,0.1256000,,,3.000,,6460.00,4.26,1.44,6.793,6.884,5.836,5.567
EPIC 228974907,EPIC 228974907.01,,CANDIDATE,,10,1,12h30m19.52s,187.581345,-01d56m33.1s,-1.942526,20.84919000,2457592.610800,0.2083000,33.900000,0.01030,3.010,1349,,,,9.344,8.816,8.698,8.697
EPIC 211424769,EPIC 211424769.01,,CANDIDATE,,5,1,08h35m24.64s,128.852676,+12d00m41.9s,12.011650,5.17624300,2457144.498370,,12.490944,0.15930,19.443,,6185.00,4.34,1.12,9.438,9.394,8.277,7.949
EPIC 203914123,EPIC 203914123.01,,CANDIDATE,,2,1,16h17m31.38s,244.380737,-24d26m13.3s,-24.437021,83830.00000000,2456946.278000,,,0.14900,12.000,,4000.00,,0.74,9.039,9.538,7.088,6.321
EPIC 211401787,EPIC 211401787.01,,CANDIDATE,,5,0,08h27m35.27s,126.896957,+11d40m02.9s,11.667474,13.77382600,2457151.068490,,20.111619,0.01795,3.295,,6114.00,4.01,1.68,9.709,9.607,8.668,8.412
EPIC 211401787,EPIC 211401787.01,,CANDIDATE,,5,0,08h27m35.27s,126.896957,+11d40m02.9s,11.667474,13.77262600,2457151.069460,0.1892000,,0.01600,2.200,,,,1.25,9.709,9.607,8.668,8.412
EPIC 211401787,EPIC 211401787.01,,CANDIDATE,,5,1,08h27m35.27s,126.896957,+11d40m02.9s,11.667474,13.77300000,2457151.072400,0.1950000,19.800000,0.01356,2.170,,,,1.47,9.709,9.607,8.668,8.412
EPIC 206135267,EPIC 206135267.01,,CANDIDATE,,3,0,22h13m10.74s,333.294769,-11d10m38.5s,-11.177358,2.57301870,2456980.052000,0.1112500,,0.21670,17.200,,4488.00,,0.69,9.225,9.991,7.820,7.267
EPIC 201258341,EPIC 201258341.01,,CANDIDATE,,1,1,11h54m45.86s,178.691086,-03d04m58.1s,-3.082804,10.50439000,2456818.918500,0.1410000,21.400000,0.01830,1.750,,,,0.88,9.769,9.996,8.565,8.166
EPIC 204763194,EPIC 204763194.01,,CANDIDATE,,2,1,15h59m46.05s,239.941864,-20d58m11.7s,-20.969925,2.32093700,2456895.696970,0.1140000,3.200000,0.12500,15.700,,,,1.16,9.973,10.015,8.776,8.474
